canonical_lineage_id,canonical_label,lineage_class,family,canonical_source_locator,registry_entry_ids,source_object_ids,aliases_and_related_views,representation_note,evidence_types,organism,assay,perturbation,acquisition_readiness,rights_pool,rights_basis,overlap_decision,verification_basis,limitations
PRJNA1169554,MultiPerturb-seq (Pierce et al.) SRA metadata,experimental_lineage,sc-genetic,https://www.ebi.ac.uk/ena/browser/view/PRJNA1169554,PRJNA1169554,,,,measurement,Human BT16 + mouse NIH3T3,Multiome Perturb-seq,Epigenomic remodeler screen,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PRJNA1169554: files_checksummed,
PRJNA1173491,KOLF2.1J Perturbation Cell Atlas (hiPSC CRISPRi genome-scale),experimental_lineage,sc-genetic,https://doi.org/10.25452/figshare.plus.27261219,KOLF2.1J-ATLAS,,,,measurement,Human (KOLF2.1J hiPSC),Perturb-seq (CRISPRi),"CRISPRi genome-scale, 11,739 targeted genes",blocked_acquisition,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,KOLF2.1J-ATLAS: manifest_only,
PRJNA831566,Replogle et al. 2022 genome-scale Perturb-seq (GWPS/essential),experimental_lineage,sc-genetic,https://doi.org/10.25452/figshare.plus.20029387,GWPS-REPLOGLE-2022,,population-gwps; response-gwps; population-k562; response-k562; population-rpe1; response-rpe1,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,measurement,"Human (K562, RPE1)",Perturb-seq (CRISPRi),"CRISPRi genome-wide (9,866 genes K562) plus essential subset (RPE1)",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,GWPS-REPLOGLE-2022: files_checksummed,
PXD018569,PRIDE PXD018569 (lung_proteome_map),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD018569,PXD018569,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,50+ drugs in lung cancer lines (subset of 6-accession study),metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD018569: manifest_only,
PXD018570,PRIDE PXD018570 (lung_proteome_map),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD018570,PXD018570,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,50+ drugs in lung cancer lines (subset of 6-accession study),metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD018570: manifest_only,
PXD018571,PRIDE PXD018571 (lung_proteome_map),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD018571,PXD018571,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,50+ drugs in lung cancer lines (subset of 6-accession study),metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD018571: manifest_only,
PXD018572,PRIDE PXD018572 (lung_proteome_map),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD018572,PXD018572,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,50+ drugs in lung cancer lines (subset of 6-accession study),metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD018572: manifest_only,
PXD018573,PRIDE PXD018573 (lung_proteome_map),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD018573,PXD018573,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,50+ drugs in lung cancer lines (subset of 6-accession study),metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD018573: manifest_only,
PXD018574,PRIDE PXD018574 (lung_proteome_map),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD018574,PXD018574,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,50+ drugs in lung cancer lines (subset of 6-accession study),materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD018574: files_checksummed,
PXD048479,PRIDE PXD048479 (braf_adaptation_pxd048479),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD048479,PXD048479,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,vemurafenib time course,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD048479: files_checksummed,
PXD056666,PRIDE PXD056666 (egf_deep_pxd056666),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD056666,PXD056666,,,,measured mass-spectrometry proteomics (perturbation dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,EGF ligand time course,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD056666: files_checksummed,
rxrx1,RXRX1 (README/metadata + license record),experimental_lineage,imaging,https://www.rxrx.ai/rxrx1,rxrx1,,,,measured,"Homo sapiens (four cell types, 51 batches)",6-channel fluorescence microscopy (5-channel for RxRx19a),"1,108 siRNA knockdowns, genetic only",blocked_acquisition,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,rxrx1: manifest_only,
rxrx19a,RXRX19A (README/metadata + license record),experimental_lineage,imaging,https://www.rxrx.ai/rxrx19a,rxrx19a,,,,measured,Homo sapiens (HRCE) and Vero (infection context),6-channel fluorescence microscopy (5-channel for RxRx19a),"1,672 compounds at 6+ concentrations plus SARS-CoV-2 conditions",blocked_acquisition,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,rxrx19a: manifest_only,
rxrx19b,RXRX19B (README/metadata + license record),experimental_lineage,imaging,https://www.rxrx.ai/rxrx19b,rxrx19b,,,,measured,Homo sapiens (HUVEC),6-channel fluorescence microscopy (5-channel for RxRx19a),"1,856 drugs/tool compounds in cytokine-storm conditions",blocked_acquisition,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,rxrx19b: manifest_only,
rxrx2,RxRx2-related soluble-factor metadata,experimental_lineage,biologic-cytokine; imaging,https://www.rxrx.ai/rxrx2,rxrx2_soluble_factor; rxrx2,,,,metadata | measured,Homo sapiens; Homo sapiens (primary HUVEC),Cell Painting; 6-channel fluorescence microscopy (5-channel for RxRx19a),small molecules (not biologic cytokines); 434 soluble immune factors at 6 concentrations,metadata_or_manifest_only,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,rxrx2_soluble_factor: unresolved | rxrx2: manifest_only,
rxrx3,RXRX3 (README/metadata + license record),experimental_lineage,imaging,https://www.rxrx.ai/rxrx3,rxrx3,,,,measured,Homo sapiens (HUVEC),6-channel fluorescence microscopy (5-channel for RxRx19a),"17,063 CRISPR knockouts plus 1,674 compounds at 8 concentrations",blocked_acquisition,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,rxrx3: manifest_only,
S-BSST1724,Human metabolic map of pharmacological perturbations (BioStudies S-BSST1724),experimental_lineage,proteomics-metab,https://www.ebi.ac.uk/biostudies/studies/S-BSST1724,S-BSST1724,metabolic-map-2024-nbt-ra62370a-z-nonpooledfoldchanges-xlsx,,,measured nontargeted metabolomics (drug perturbation fold-changes) plus live-cell confluence,Homo sapiens (A549),Nontargeted LC-MS metabolomics,"1,520 drugs main screen; 400-drug validation subset",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,S-BSST1724: files_checksummed,
SCP1064/DUOS-000124,Frangieh et al. 2021 Perturb-CITE-seq melanoma,experimental_lineage,sc-genetic,https://singlecell.broadinstitute.org/single_cell/study/SCP1064,SCP1064,,,,measurement,"Human (melanoma, PBL)",Perturb-CITE-seq,"CRISPR KO, 248 genes/744 guides",blocked_acquisition,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,SCP1064: manifest_only,
spidr-2025,SPIDR 2025 DDR combinatorial screen scores,experimental_lineage,fitness-sl,slp/raw/spidr-2025/,slp_raw_spidr_2025,spidr-2025-scores,spidr-2025; spidr-original | spidr-original,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,direct_pair_GI,not stated in supplied reconciliation,"GEMINI scores, 548 DDR genes",combinatorial genetic screen,materialized_or_censused_SLP_raw,open-attribution (per reconciliation),Reconciliation states Springer supplementary files are CC BY 4.0.,New raw experimental lineage; spidr-original is a prepared view.,slp_raw_spidr_2025: Bucket census metadata: 4.2 MB scores.csv.,
SRP accessions,recount3 human SRA project-level metadata + example study,experimental_lineage,bulk-atlases,https://duffel.rail.bio/recount3/human/data_sources/sra/metadata/sra.recount_project.MD.gz,bulk-atlases-recount3,,,,project/sample metadata tables,human,RNA-seq (recount3 uniform processing),perturbation subset must be identified from SRA study metadata,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-recount3: files_checksummed,
synapse:LINCS_MCF10A,LINCS MCF10A microenvironment article supplementary tables (Nature Communications Biology 2022),experimental_lineage,biologic-cytokine,https://www.nature.com/articles/s42003-022-03975-9 | https://www.synapse.org/LINCS_MCF10A,lincs_mcf10a_supplements; lincs_mcf10a_synapse,mcf10a-lincs-2022-42003-2022-3975-moesm10-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm11-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm12-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm13-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm14-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm15-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm16-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm17-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm18-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm19-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm1-esm-pdf; mcf10a-lincs-2022-42003-2022-3975-moesm20-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm21-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm22-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm23-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm24-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm25-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm26-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm2-esm-pdf; mcf10a-lincs-2022-42003-2022-3975-moesm3-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm4-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm5-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm6-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm7-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm8-esm-xlsx; mcf10a-lincs-2022-42003-2022-3975-moesm9-esm-xlsx,population-mcf10a-d0; population-mcf10a-d6; population-mcf10a-tgfb1-d6,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,author_derived_experimental_summary | multi_assay_profiles,Homo sapiens,"multi-omics time course (RNA-seq, L1000, RPPA, ATAC-seq, GCP, imaging, CyCIF); multi-omics time course","six ligands: EGF, HGF, OSM, IFNG, TGFB1, BMP2, 0-48 h; six ligands, 0-48 h",materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,lincs_mcf10a_supplements: files_checksummed | lincs_mcf10a_synapse: unresolved,
x-atlas-orion,X-Atlas/Orion genome-wide FiCS Perturb-seq (Xaira),experimental_lineage,sc-genetic,https://huggingface.co/datasets/Xaira-Therapeutics/X-Atlas-Orion,X-ATLAS-ORION,,,,measurement,"Human (HCT116, HEK293T)",Perturb-seq (FiCS CRISPRi),"CRISPRi genome-wide, 18,903 genes",materialized_fleet_evidence,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,X-ATLAS-ORION: files_checksummed,
zenodo:18449193,DrugComb v1.4,experimental_lineage,fitness-sl,https://zenodo.org/records/18449193,FSL05,drugcomb-v1-4-drugcomb-data-v1-4-csv; drugcomb-v1-4-drugcomb-cell-line-identifiers-xlsx; drugcomb-v1-4-drugcomb-drug-identifiers-xlsx,,,drug_combination,Homo sapiens,two-drug dose-response viability,drug combinations,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL05: files_checksummed,
zenodo:4843919,drugcomb_oct2019_withdoses (2021-uploaded freeze),experimental_lineage,fitness-sl,https://zenodo.org/records/4843919,FSL06,,,,drug_combination,Homo sapiens,two-drug dose-response viability,drug combinations,blocked_acquisition,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL06: unresolved,
slkb-2023,SLKB 2023 SQL dumps,source_database,fitness-sl,Figshare 22902839; slp/raw/slkb-2023/,slp_raw_slkb_2023,slkb-2023-41055392,slkb-2023; slkb-original | slkb-original,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,database_assertion; not a single experimental lineage,not stated in supplied reconciliation,synthetic-lethality knowledge-base dump,database aggregation,materialized_or_censused_SLP_raw,GPL-separate,Reconciliation states SLKB data and pipeline are GPL v3.0 / GPL 3.0+.,"New source/database lineage, segregated from non-GPL pools; slkb-original is a prepared view.",slp_raw_slkb_2023: Bucket census metadata: 241 MB SQL_Dumps.zip.,SLKB is a database/assertion source rather than a single experiment and must remain in its GPL-separated pool.
cellpainting-gallery,Cell Painting Gallery (S3 repository survey),source_lineage,imaging,https://registry.opendata.aws/cellpainting-gallery/,cellpainting_gallery,,,,measured,study-specific,"Cell Painting (TIFF images, profiles, metadata)","chemical, genetic and biological treatments (collection)",metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,cellpainting_gallery: manifest_only,
cptac_pancancer,CPTAC Pan-Cancer / Proteomic Data Commons,source_lineage,proteomics-metab,https://pdc.cancer.gov/pdc/cptac-pancancer,cptac_pancancer,,,,observational cohort proteomics (no perturbation assigned),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics,none assigned,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,cptac_pancancer: files_checksummed,
github:samsonfong/SCHEMATIC@master,SCHEMATIC,source_lineage,fitness-sl,https://github.com/samsonfong/SCHEMATIC,FSL14,,,,direct_pair_GI,Homo sapiens,CRISPR combinatorial,gene pairs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL14: files_checksummed,
GSE202186,Cui 2023 Immune Dictionary pilot paper-extraction assets,source_lineage,biologic-cytokine,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-023-06816-9/MediaObjects/41586_2023_6816_MOESM5_ESM.xlsx | https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202186 | https://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202186/suppl/GSE202186_RAW.tar | https://singlecell.broadinstitute.org/single_cell/study/SCP2554/single-cell-rna-seq-dictionary-of-in-vivo-immune-responses-to-cytokines,pilot_extraction_cui2023; geo_gse202186_metadata; geo_gse202186_cell_matrices; scp2554_broad_metadata,immune-dictionary-2023-immune-dictionary-supplementary-table-3-xlsx,,,author_derived_experimental_summary | metadata | raw_count_matrices,Mus musculus,in vivo scRNA-seq (10x 3' v3); scRNA-seq,"86 cytokines in vivo, 4 h endpoint, PBS control; 86 cytokines in vivo, 4 h, PBS control",materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,pilot_extraction_cui2023: files_checksummed | geo_gse202186_metadata: files_checksummed | geo_gse202186_cell_matrices: unresolved | scp2554_broad_metadata: manifest_only,
icsdb-2020-freeze,iCSDB,source_lineage,fitness-sl,https://icsdb.cnbi.net,FSL13,,,,single_gene_fitness,Homo sapiens,CRISPR knockout (harmonized),single-gene,blocked_acquisition,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL13: unresolved,
LINCS_L1000_program,Expanded CMap LINCS 2020 (L1000),source_lineage,chemical-tx,https://clue.io/data/project/5fb7d248c1f885001161d6c8 | https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,chemical-tx_lincs_cmap_2020; chemical-tx_lincs_geo_phase12,lincs-l1000-phase1-gse92742-broad-lincs-level2-gex-delta-n49216x978-gctx-gz; lincs-l1000-phase1-gse92742-broad-lincs-cell-info-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-gene-info-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-gene-info-delta-landmark-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-inst-info-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-pert-info-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-pert-metrics-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-sig-info-txt-gz; lincs-l1000-phase1-gse92742-broad-lincs-sig-metrics-txt-gz; lincs-l1000-phase1-gse92742-sha512sums-txt-gz; lincs-l1000-phase2-gse70138-broad-lincs-level2-gex-n345976x978-2017-03-06-gctx-; lincs-l1000-phase2-gse70138-broad-lincs-cell-info-2017-04-28-txt-gz; lincs-l1000-phase2-gse70138-broad-lincs-gene-info-2017-03-06-txt-gz; lincs-l1000-phase2-gse70138-broad-lincs-inst-info-2017-03-06-txt-gz; lincs-l1000-phase2-gse70138-broad-lincs-pert-info-2017-03-06-txt-gz; lincs-l1000-phase2-gse70138-broad-lincs-sig-info-2017-03-06-txt-gz; lincs-l1000-phase2-gse70138-broad-lincs-sig-metrics-2017-03-06-txt-gz; lincs-l1000-phase2-gse70138-sha512sums-txt-gz,,,perturbation_response_transcriptomics,human,L1000,chemicals plus shRNA/CRISPR/ORF; chemicals plus genetic perturbations,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_lincs_cmap_2020: unresolved | chemical-tx_lincs_geo_phase12: files_checksummed,
metabolomics_workbench_rest_2026-09-18,Metabolomics Workbench / NMDR REST discovery,source_lineage,proteomics-metab,https://www.metabolomicsworkbench.org/rest/study/study_id/ST/summary,metabolomics_workbench,,,,"discovery metadata (mixed studies, mostly observational)",various,MS and NMR metabolomics,study-specific (479 keyword-matched candidate studies),metadata_or_manifest_only,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,metabolomics_workbench: files_checksummed,
PerturbAtlas perturb_id / ENA study_accession,PerturbAtlas metadata API sample,source_lineage,bulk-atlases,https://perturbatlas.kratoss.site/api/meta,bulk-atlases-perturbatlas,,,,processed differential-expression + splicing tables (not fetched),multi-species (13 claimed),bulk RNA-seq DESeq2/rMATS,KO/KD/OE/knock-in/mutation,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-perturbatlas: files_checksummed,
pickles-v3/v4,PICKLES,source_lineage,fitness-sl,https://pickles.hart-lab.org,FSL12,,,,single_gene_fitness,Homo sapiens,CRISPR knockout (pooled),single-gene,blocked_acquisition,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL12: unresolved,
proteomexchange_pride,ProteomeXchange / PRIDE Archive (repository policy row),source_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/markdownpage/datapolicy,proteomexchange_pride,,,,repository metadata,various,mass-spectrometry proteomics,study-specific,metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,proteomexchange_pride: unresolved,
PXD037285,PRIDE PXD037285 (decryptm),source_lineage,proteomics-metab,https://www.ebi.ac.uk/pride/archive/projects/PXD037285 | https://www.proteomicsdb.org/decryptm,PXD037285; proteomicsdb_decryptm,decryptm-2022-10-kinase-inhibitors-curves-zip; decryptm-2022-uniprot-proteome-up000005640-03112020-fasta,,,measured mass-spectrometry proteomics (perturbation dose/time response) | measured mass-spectrometry proteomics (drug dose/time response),Homo sapiens,LC-MS/MS proteomics/phosphoproteomics; LC-MS/MS proteome/phospho-/ubiquityl-/acetyl-proteomics,"31 cancer drugs, dose/time resolved; 31 cancer drugs across six classes, dose- and time-resolved",materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,PXD037285: files_checksummed | proteomicsdb_decryptm: files_checksummed,
sanger-project-score-archive-2025-05-12,Sanger Project Score archive,source_lineage,fitness-sl,https://depmap.sanger.ac.uk/documentation/datasets/wg-crispr-knockout/,FSL11,,,,single_gene_fitness,Homo sapiens,CRISPR dropout,single-gene,materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL11: files_checksummed,
synlethdb-2026-09-17,SynLethDB,source_lineage,fitness-sl,https://www.synlethdb.com/,FSL04,,,,database_assertion,Homo sapiens; Saccharomyces cerevisiae,"mixed curated evidence (CRISPR, GenomeRNAi, text mining, DB import)",curated gene pairs,materialized_fleet_evidence,research-only/noncommercial,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL04: files_checksummed,
cpg0003-rosetta (harmonized reprocessing of cpg0012/BBBC036/BBBC041/BBBC037/cpg0004 + L1000; not newly generated),Rosetta paired Cell Painting-L1000 cpg0003 (variable-selected CP profiles + L1000 treatment profiles),technical_resample,imaging,https://github.com/carpenter-singh-lab/2022_Haghighi_NatureMethods,rosetta_cpg0003,cellpainting-rosetta-cdrp-bbbc047-bray-cp; cellpainting-rosetta-cdrp-bbbc047-bray-l1k; cellpainting-rosetta-cdrpbio-bbbc036-bray-cp; cellpainting-rosetta-lincs-pilot1-cp; cellpainting-rosetta-luad-bbbc041-caicedo-cp; cellpainting-rosetta-luad-bbbc041-caicedo-l1k; cellpainting-rosetta-ta-orf-bbbc037-rohban-cp; cellpainting-rosetta-readme-md,,,measured,"Homo sapiens (U2OS, A549 by dataset)",Cell Painting plus L1000 (paired modalities),"28,000+ chemical and genetic perturbations across the five datasets",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,"Technical resample/harmonized reprocessing retained as a representation, not counted as a newly generated experimental lineage.",rosetta_cpg0003: files_checksummed | Verified correction: Rosetta README checksum was corrected after a basename-collision bug; builder now matches full path suffixes.,"The corrected checksum statement is a builder/provenance correction, not a new experimental lineage."
